date,next_date,n_stocks,portfolio_ret,avg_score,selected_codes,year
2018-01-31,2018-02-28,60,-0.0571878403272583,0.7149753195624649,"000333.SZ,000338.SZ,000402.SZ,000415.SZ,000413.SZ,000581.SZ,000625.SZ,000725.SZ,000768.SZ,000831.SZ,002008.SZ,002065.SZ,002146.SZ,002230.SZ,002195.SZ,002353.SZ,002415.SZ,002500.SZ,300015.SZ,300070.SZ,300251.SZ,600000.SH,600019.SH,600031.SH,600050.SH,600089.SH,600111.SH,600118.SH,600153.SH,600208.SH,600252.SH,600271.SH,600256.SH,600309.SH,600350.SH,600373.SH,600415.SH,600519.SH,600549.SH,600633.SH,600663.SH,600688.SH,600705.SH,600690.SH,600739.SH,600959.SH,601006.SH,601016.SH,601021.SH,601106.SH,601216.SH,601318.SH,601288.SH,601628.SH,601668.SH,601699.SH,601988.SH,601969.SH,601992.SH,603993.SH",2018
2018-02-28,2018-03-31,60,-0.0404529834584894,0.7147969051175203,"000333.SZ,000338.SZ,000402.SZ,000415.SZ,000413.SZ,000581.SZ,000625.SZ,000725.SZ,000768.SZ,000831.SZ,002008.SZ,002065.SZ,002146.SZ,002230.SZ,002195.SZ,002353.SZ,002415.SZ,002500.SZ,300015.SZ,300070.SZ,300251.SZ,600000.SH,600019.SH,600031.SH,600050.SH,600089.SH,600111.SH,600118.SH,600153.SH,600208.SH,600252.SH,600271.SH,600256.SH,600309.SH,600350.SH,600373.SH,600415.SH,600519.SH,600549.SH,600633.SH,600663.SH,600688.SH,600705.SH,600690.SH,600739.SH,600959.SH,601006.SH,601016.SH,601021.SH,601106.SH,601216.SH,601318.SH,601288.SH,601628.SH,601668.SH,601699.SH,601988.SH,601969.SH,601992.SH,603993.SH",2018
2018-03-31,2018-04-30,60,-0.02764399114344609,0.7143837537340453,"000333.SZ,000338.SZ,000402.SZ,000415.SZ,000413.SZ,000581.SZ,000725.SZ,000768.SZ,000831.SZ,002008.SZ,002065.SZ,002146.SZ,002230.SZ,002195.SZ,002353.SZ,002415.SZ,002500.SZ,300015.SZ,300027.SZ,300070.SZ,300251.SZ,600000.SH,600019.SH,600031.SH,600050.SH,600089.SH,600111.SH,600118.SH,600153.SH,600208.SH,600252.SH,600271.SH,600256.SH,600188.SH,600309.SH,600373.SH,600415.SH,600519.SH,600549.SH,600633.SH,600663.SH,600688.SH,600705.SH,600690.SH,600739.SH,600959.SH,601006.SH,601016.SH,601021.SH,601106.SH,601216.SH,601318.SH,601288.SH,601628.SH,601668.SH,601699.SH,601988.SH,601969.SH,601992.SH,603993.SH",2018
2018-04-30,2018-05-31,60,0.0006665555642612791,0.7328274103976145,"000009.SZ,000338.SZ,000413.SZ,000425.SZ,000581.SZ,000629.SZ,000651.SZ,000625.SZ,000712.SZ,000768.SZ,000825.SZ,000876.SZ,001979.SZ,002038.SZ,002146.SZ,002230.SZ,002236.SZ,002195.SZ,002385.SZ,002399.SZ,002415.SZ,002500.SZ,300017.SZ,300027.SZ,300058.SZ,300059.SZ,300070.SZ,300251.SZ,600027.SH,600031.SH,600050.SH,600111.SH,600118.SH,600153.SH,600208.SH,600252.SH,600256.SH,600309.SH,600369.SH,600398.SH,600373.SH,600406.SH,600648.SH,600649.SH,600705.SH,600741.SH,600739.SH,600873.SH,601006.SH,601016.SH,601021.SH,601099.SH,601106.SH,601318.SH,601288.SH,601668.SH,601699.SH,601958.SH,601988.SH,603993.SH",2018
2018-05-31,2018-06-30,60,-0.013679255882891596,0.7154133031685359,"000002.SZ,000009.SZ,000338.SZ,000413.SZ,000425.SZ,000623.SZ,000581.SZ,000629.SZ,000651.SZ,000625.SZ,000712.SZ,000768.SZ,000825.SZ,000831.SZ,000876.SZ,000898.SZ,001979.SZ,002038.SZ,002146.SZ,002230.SZ,002236.SZ,002195.SZ,002385.SZ,002399.SZ,002415.SZ,002422.SZ,002500.SZ,300017.SZ,300027.SZ,300058.SZ,300059.SZ,300070.SZ,300146.SZ,300251.SZ,600027.SH,600050.SH,600111.SH,600118.SH,600153.SH,600208.SH,600252.SH,600256.SH,600309.SH,600369.SH,600406.SH,600648.SH,600649.SH,600705.SH,600741.SH,600739.SH,600873.SH,601006.SH,601016.SH,601099.SH,601106.SH,601318.SH,601288.SH,601668.SH,601699.SH,601958.SH",2018
2018-06-30,2018-07-31,60,0.018235371278271153,0.7209655836903675,"000002.SZ,000009.SZ,000338.SZ,000413.SZ,000425.SZ,000623.SZ,000581.SZ,000629.SZ,000651.SZ,000625.SZ,000712.SZ,000768.SZ,000825.SZ,000831.SZ,000876.SZ,000898.SZ,001979.SZ,002038.SZ,002146.SZ,002230.SZ,002236.SZ,002195.SZ,002385.SZ,002399.SZ,002415.SZ,002422.SZ,002500.SZ,300017.SZ,300027.SZ,300058.SZ,300059.SZ,300070.SZ,300146.SZ,300251.SZ,600027.SH,600050.SH,600111.SH,600118.SH,600153.SH,600208.SH,600252.SH,600256.SH,600309.SH,600369.SH,600406.SH,600648.SH,600649.SH,600705.SH,600741.SH,600739.SH,600873.SH,601006.SH,601016.SH,601099.SH,601106.SH,601318.SH,601288.SH,601668.SH,601699.SH,601958.SH",2018
2018-07-31,2018-08-31,60,-0.011802221717268203,0.728278794281398,"000002.SZ,000009.SZ,000338.SZ,000413.SZ,000425.SZ,000623.SZ,000581.SZ,000629.SZ,000651.SZ,000625.SZ,000712.SZ,000768.SZ,000825.SZ,000876.SZ,000898.SZ,001979.SZ,002024.SZ,002038.SZ,002146.SZ,002129.SZ,002230.SZ,002195.SZ,002385.SZ,002399.SZ,002422.SZ,002500.SZ,300015.SZ,300027.SZ,300058.SZ,300059.SZ,300070.SZ,300146.SZ,300251.SZ,600027.SH,600050.SH,600111.SH,600118.SH,600153.SH,600208.SH,600252.SH,600256.SH,600309.SH,600332.SH,600369.SH,600398.SH,600406.SH,600648.SH,600649.SH,600705.SH,600741.SH,600739.SH,600873.SH,601006.SH,601016.SH,601099.SH,601106.SH,601318.SH,601288.SH,601688.SH,601958.SH",2018
2018-08-31,2018-09-30,60,0.010453995999485193,0.6132603311105029,"000039.SZ,000046.SZ,000060.SZ,000338.SZ,000415.SZ,000413.SZ,000425.SZ,000581.SZ,000651.SZ,000712.SZ,000793.SZ,000825.SZ,000898.SZ,002007.SZ,002024.SZ,002038.SZ,002065.SZ,002146.SZ,002230.SZ,002236.SZ,002304.SZ,002353.SZ,002399.SZ,300058.SZ,300059.SZ,300251.SZ,300315.SZ,600027.SH,600050.SH,600066.SH,600153.SH,600196.SH,600271.SH,600256.SH,600309.SH,600332.SH,600340.SH,600352.SH,600398.SH,600383.SH,600373.SH,600406.SH,600600.SH,600649.SH,600705.SH,600690.SH,600741.SH,600804.SH,600873.SH,600886.SH,601006.SH,601021.SH,601318.SH,601288.SH,601336.SH,601601.SH,601727.SH,601888.SH,601991.SH,601992.SH",2018
2018-09-30,2018-10-31,60,-0.07301449928314409,0.6549464688588013,"000046.SZ,000338.SZ,000415.SZ,000413.SZ,000425.SZ,000581.SZ,000629.SZ,000651.SZ,000712.SZ,000793.SZ,000825.SZ,000831.SZ,000898.SZ,002024.SZ,002038.SZ,002146.SZ,002236.SZ,002195.SZ,002353.SZ,002399.SZ,002422.SZ,300058.SZ,300059.SZ,300133.SZ,300146.SZ,300251.SZ,300315.SZ,600011.SH,600031.SH,600050.SH,600153.SH,600208.SH,600271.SH,600256.SH,600309.SH,600340.SH,600352.SH,600383.SH,600406.SH,600588.SH,600660.SH,600649.SH,600705.SH,600718.SH,600741.SH,600739.SH,600804.SH,600873.SH,600886.SH,601006.SH,601318.SH,601288.SH,601336.SH,601601.SH,601727.SH,601899.SH,601928.SH,601988.SH,601991.SH,601992.SH",2018
2018-10-31,2018-11-30,60,-0.0006146968361319316,0.6060900125825839,"000046.SZ,000069.SZ,000338.SZ,000413.SZ,000540.SZ,000581.SZ,000629.SZ,000651.SZ,000712.SZ,000898.SZ,002007.SZ,002038.SZ,002065.SZ,002146.SZ,002202.SZ,002195.SZ,002353.SZ,002475.SZ,300058.SZ,300146.SZ,300251.SZ,600019.SH,600021.SH,600023.SH,600031.SH,600050.SH,600153.SH,600271.SH,600256.SH,600309.SH,600332.SH,600352.SH,600383.SH,600373.SH,600406.SH,600549.SH,600633.SH,600660.SH,600649.SH,600674.SH,600688.SH,600705.SH,600690.SH,600741.SH,600804.SH,600873.SH,600886.SH,601006.SH,601021.SH,601216.SH,601231.SH,601318.SH,601288.SH,601336.SH,601601.SH,601607.SH,601668.SH,601899.SH,601928.SH,601992.SH",2018
