code,industry,ind_year
600900.SH,公用事业,2017
600900.SH,公用事业,2016
600958.SH,非银金融,2020
600958.SH,非银金融,2019
600958.SH,非银金融,2018
600958.SH,非银金融,2017
600958.SH,非银金融,2016
600999.SH,非银金融,2020
600999.SH,非银金融,2019
600999.SH,非银金融,2018
600999.SH,非银金融,2017
600999.SH,非银金融,2016
600998.SH,医药生物,2020
600998.SH,医药生物,2019
600998.SH,医药生物,2018
600998.SH,医药生物,2017
600998.SH,医药生物,2016
600959.SH,传媒,2020
600959.SH,传媒,2019
600959.SH,传媒,2018
600959.SH,传媒,2017
600959.SH,传媒,2016
601006.SH,交通运输,2020
601006.SH,交通运输,2019
601006.SH,交通运输,2018
601006.SH,交通运输,2017
601006.SH,交通运输,2016
601009.SH,银行,2020
601009.SH,银行,2019
601009.SH,银行,2018
601009.SH,银行,2017
601009.SH,银行,2016
601016.SH,公用事业,2020
601016.SH,公用事业,2019
601016.SH,公用事业,2018
601016.SH,公用事业,2017
601016.SH,公用事业,2016
601021.SH,交通运输,2020
601021.SH,交通运输,2019
601021.SH,交通运输,2018
601021.SH,交通运输,2017
601021.SH,交通运输,2016
601088.SH,煤炭,2020
601088.SH,煤炭,2019
601088.SH,煤炭,2018
601088.SH,煤炭,2017
601088.SH,煤炭,2016
601098.SH,传媒,2020
601098.SH,传媒,2019
601098.SH,传媒,2018
601098.SH,传媒,2017
601098.SH,传媒,2016
601106.SH,机械设备,2020
601106.SH,机械设备,2019
601106.SH,机械设备,2018
601106.SH,机械设备,2017
601106.SH,机械设备,2016
601099.SH,非银金融,2020
601099.SH,非银金融,2019
601099.SH,非银金融,2018
601099.SH,非银金融,2017
601099.SH,非银金融,2016
601111.SH,交通运输,2020
601111.SH,交通运输,2019
601111.SH,交通运输,2018
601111.SH,交通运输,2017
601111.SH,交通运输,2016
601018.SH,交通运输,2020
601018.SH,交通运输,2019
601018.SH,交通运输,2018
601018.SH,交通运输,2017
601018.SH,交通运输,2016
601117.SH,建筑装饰,2020
601117.SH,建筑装饰,2019
601117.SH,建筑装饰,2018
601117.SH,建筑装饰,2017
601117.SH,建筑装饰,2016
601118.SH,农林牧渔,2020
601118.SH,农林牧渔,2019
601118.SH,农林牧渔,2018
601118.SH,农林牧渔,2017
601118.SH,农林牧渔,2016
601169.SH,银行,2020
601169.SH,银行,2019
601169.SH,银行,2018
601169.SH,银行,2017
601169.SH,银行,2016
601158.SH,环保,2020
601158.SH,环保,2019
601158.SH,环保,2018
601158.SH,环保,2017
601158.SH,环保,2016
601166.SH,银行,2020
601166.SH,银行,2019
601166.SH,银行,2018
601166.SH,银行,2017
601166.SH,银行,2016
601179.SH,电力设备,2020
601179.SH,电力设备,2019
601179.SH,电力设备,2018
601179.SH,电力设备,2017
601179.SH,电力设备,2016
601186.SH,建筑装饰,2020
601186.SH,建筑装饰,2019
601186.SH,建筑装饰,2018
601186.SH,建筑装饰,2017
601186.SH,建筑装饰,2016
601198.SH,非银金融,2020
601198.SH,非银金融,2019
601198.SH,非银金融,2018
601198.SH,非银金融,2017
601198.SH,非银金融,2016
601216.SH,基础化工,2020
601216.SH,基础化工,2019
601216.SH,基础化工,2018
601216.SH,基础化工,2017
601216.SH,基础化工,2016
601211.SH,非银金融,2020
601211.SH,非银金融,2019
601211.SH,非银金融,2018
601211.SH,非银金融,2017
601211.SH,非银金融,2016
601225.SH,煤炭,2020
601225.SH,煤炭,2019
601225.SH,煤炭,2018
601225.SH,煤炭,2017
601225.SH,煤炭,2016
601238.SH,汽车,2020
601238.SH,汽车,2019
601238.SH,汽车,2018
601238.SH,汽车,2017
601238.SH,汽车,2016
601231.SH,电子,2020
601231.SH,电子,2019
601231.SH,电子,2018
601231.SH,电子,2017
601231.SH,电子,2016
601258.SH,汽车,2020
601258.SH,汽车,2019
601258.SH,汽车,2018
601258.SH,汽车,2017
601258.SH,汽车,2016
601288.SH,银行,2020
601288.SH,银行,2019
601288.SH,银行,2018
601288.SH,银行,2017
601288.SH,银行,2016
601318.SH,非银金融,2020
601318.SH,非银金融,2019
601318.SH,非银金融,2018
601318.SH,非银金融,2017
601318.SH,非银金融,2016
601328.SH,银行,2020
601328.SH,银行,2019
601328.SH,银行,2018
601328.SH,银行,2017
601328.SH,银行,2016
601336.SH,非银金融,2020
601336.SH,非银金融,2019
601336.SH,非银金融,2018
601336.SH,非银金融,2017
601336.SH,非银金融,2016
601333.SH,交通运输,2020
601333.SH,交通运输,2019
601333.SH,交通运输,2018
601333.SH,交通运输,2017
601333.SH,交通运输,2016
601390.SH,建筑装饰,2020
601390.SH,建筑装饰,2019
601390.SH,建筑装饰,2018
601390.SH,建筑装饰,2017
601390.SH,建筑装饰,2016
601377.SH,非银金融,2020
601377.SH,非银金融,2019
601377.SH,非银金融,2018
601377.SH,非银金融,2017
601377.SH,非银金融,2016
601398.SH,银行,2020
601398.SH,银行,2019
601398.SH,银行,2018
601398.SH,银行,2017
601398.SH,银行,2016
601555.SH,非银金融,2020
601555.SH,非银金融,2019
601555.SH,非银金融,2018
601555.SH,非银金融,2017
601555.SH,非银金融,2016
601600.SH,有色金属,2020
601600.SH,有色金属,2019
601600.SH,有色金属,2018
601600.SH,有色金属,2017
601600.SH,有色金属,2016
601607.SH,医药生物,2020
601607.SH,医药生物,2019
601607.SH,医药生物,2018
601607.SH,医药生物,2017
601607.SH,医药生物,2016
601608.SH,机械设备,2020
601608.SH,机械设备,2019
601608.SH,机械设备,2018
601608.SH,机械设备,2017
601608.SH,机械设备,2016
601601.SH,非银金融,2020
601601.SH,非银金融,2019
601601.SH,非银金融,2018
601601.SH,非银金融,2017
601601.SH,非银金融,2016
601633.SH,汽车,2020
601633.SH,汽车,2019
601633.SH,汽车,2018
601633.SH,汽车,2017
601633.SH,汽车,2016
601669.SH,建筑装饰,2020
601669.SH,建筑装饰,2019
601669.SH,建筑装饰,2018
601669.SH,建筑装饰,2017
601669.SH,建筑装饰,2016
601618.SH,建筑装饰,2020
601618.SH,建筑装饰,2019
601618.SH,建筑装饰,2018
601618.SH,建筑装饰,2017
601618.SH,建筑装饰,2016
601668.SH,建筑装饰,2020
601668.SH,建筑装饰,2019
601668.SH,建筑装饰,2018
601668.SH,建筑装饰,2017
601668.SH,建筑装饰,2016
601628.SH,非银金融,2020
601628.SH,非银金融,2019
601628.SH,非银金融,2018
601628.SH,非银金融,2017
601628.SH,非银金融,2016
601688.SH,非银金融,2020
601688.SH,非银金融,2019
601688.SH,非银金融,2018
601688.SH,非银金融,2017
601688.SH,非银金融,2016
601718.SH,纺织服饰,2020
601718.SH,纺织服饰,2019
601718.SH,纺织服饰,2018
601718.SH,纺织服饰,2017
601718.SH,纺织服饰,2016
601766.SH,机械设备,2020
601766.SH,机械设备,2019
601766.SH,机械设备,2018
601766.SH,机械设备,2017
601766.SH,机械设备,2016
601699.SH,煤炭,2020
601699.SH,煤炭,2019
601699.SH,煤炭,2018
601699.SH,煤炭,2017
601699.SH,煤炭,2016
601727.SH,电力设备,2020
601727.SH,电力设备,2019
601727.SH,电力设备,2018
601727.SH,电力设备,2017
601727.SH,电力设备,2016
601808.SH,石油石化,2020
601808.SH,石油石化,2019
601808.SH,石油石化,2018
601808.SH,石油石化,2017
601808.SH,石油石化,2016
601788.SH,非银金融,2020
601788.SH,非银金融,2019
601788.SH,非银金融,2018
601788.SH,非银金融,2017
601788.SH,非银金融,2016
601818.SH,银行,2020
601818.SH,银行,2019
601818.SH,银行,2018
601818.SH,银行,2017
601818.SH,银行,2016
601800.SH,建筑装饰,2020
601800.SH,建筑装饰,2019
601800.SH,建筑装饰,2018
601800.SH,建筑装饰,2017
601800.SH,建筑装饰,2016
601857.SH,石油石化,2020
601857.SH,石油石化,2019
601857.SH,石油石化,2018
601857.SH,石油石化,2017
601857.SH,石油石化,2016
601898.SH,煤炭,2020
601898.SH,煤炭,2019
601898.SH,煤炭,2018
601898.SH,煤炭,2017
601898.SH,煤炭,2016
601899.SH,有色金属,2020
601899.SH,有色金属,2019
601899.SH,有色金属,2018
601899.SH,有色金属,2017
601899.SH,有色金属,2016
601888.SH,社会服务,2020
601888.SH,社会服务,2019
601888.SH,社会服务,2018
601888.SH,社会服务,2017
601888.SH,社会服务,2016
601872.SH,交通运输,2020
601872.SH,交通运输,2019
601872.SH,交通运输,2018
601872.SH,交通运输,2017
601872.SH,交通运输,2016
601919.SH,交通运输,2020
601919.SH,交通运输,2019
601919.SH,交通运输,2018
601919.SH,交通运输,2017
601919.SH,交通运输,2016
601901.SH,非银金融,2020
601901.SH,非银金融,2019
601901.SH,非银金融,2018
601901.SH,非银金融,2017
601901.SH,非银金融,2016
601866.SH,交通运输,2020
601866.SH,交通运输,2019
601866.SH,交通运输,2018
601866.SH,交通运输,2017
601866.SH,交通运输,2016
601928.SH,传媒,2020
601928.SH,传媒,2019
601928.SH,传媒,2018
601928.SH,传媒,2017
601928.SH,传媒,2016
601933.SH,商贸零售,2020
601933.SH,商贸零售,2019
601933.SH,商贸零售,2018
601933.SH,商贸零售,2017
601933.SH,商贸零售,2016
601939.SH,银行,2020
601939.SH,银行,2019
601939.SH,银行,2018
601939.SH,银行,2017
601939.SH,银行,2016
601958.SH,有色金属,2020
601958.SH,有色金属,2019
601958.SH,有色金属,2018
601958.SH,有色金属,2017
601958.SH,有色金属,2016
601969.SH,钢铁,2020
601969.SH,钢铁,2019
601969.SH,钢铁,2018
601969.SH,钢铁,2017
601969.SH,钢铁,2016
601988.SH,银行,2020
601988.SH,银行,2019
601988.SH,银行,2018
601988.SH,银行,2017
601988.SH,银行,2016
601985.SH,公用事业,2020
601985.SH,公用事业,2019
601985.SH,公用事业,2018
601985.SH,公用事业,2017
601985.SH,公用事业,2016
601998.SH,银行,2020
601998.SH,银行,2019
601998.SH,银行,2018
601998.SH,银行,2017
601998.SH,银行,2016
601991.SH,公用事业,2020
601991.SH,公用事业,2019
601991.SH,公用事业,2018
601991.SH,公用事业,2017
601991.SH,公用事业,2016
601989.SH,国防军工,2020
601989.SH,国防军工,2019
601989.SH,国防军工,2018
601989.SH,国防军工,2017
601989.SH,国防军工,2016
601992.SH,建筑材料,2020
601992.SH,建筑材料,2019
601992.SH,综合,2018
601992.SH,综合,2017
601992.SH,建筑材料,2016
603000.SH,传媒,2020
603000.SH,传媒,2019
603000.SH,传媒,2018
603000.SH,传媒,2017
603000.SH,传媒,2016
603993.SH,有色金属,2020
603993.SH,有色金属,2019
603993.SH,有色金属,2018
603993.SH,有色金属,2017
603993.SH,有色金属,2016
603885.SH,交通运输,2020
603885.SH,交通运输,2019
603885.SH,交通运输,2018
603885.SH,交通运输,2017
603885.SH,交通运输,2016
603288.SH,食品饮料,2020
603288.SH,食品饮料,2019
603288.SH,食品饮料,2018
603288.SH,食品饮料,2017
603288.SH,食品饮料,2016
