date,next_date,n_stocks,portfolio_ret,avg_score,selected_codes,year
2022-01-31,2022-02-28,60,0.031089499869796717,0.5609557022394739,"000063.SZ,000066.SZ,000425.SZ,000625.SZ,000627.SZ,000671.SZ,000703.SZ,000723.SZ,000768.SZ,000776.SZ,000938.SZ,000977.SZ,002024.SZ,002049.SZ,002120.SZ,002129.SZ,002371.SZ,002460.SZ,002594.SZ,002821.SZ,002916.SZ,300142.SZ,600010.SH,600011.SH,600018.SH,600027.SH,600111.SH,600150.SH,600196.SH,600297.SH,600309.SH,600340.SH,600346.SH,600406.SH,600487.SH,600637.SH,600690.SH,600703.SH,600745.SH,600760.SH,600809.SH,600845.SH,600872.SH,600887.SH,600893.SH,600958.SH,600989.SH,600998.SH,601555.SH,601607.SH,601618.SH,601633.SH,601669.SH,601877.SH,603019.SH,603392.SH,603833.SH,603986.SH,603993.SH,688012.SH",2022
2022-02-28,2022-03-31,60,-0.035206094291005297,0.14303463835103203,"000063.SZ,000066.SZ,000100.SZ,000333.SZ,000425.SZ,000627.SZ,000651.SZ,000671.SZ,000703.SZ,000723.SZ,000768.SZ,000860.SZ,000977.SZ,002044.SZ,002157.SZ,002202.SZ,002371.SZ,002384.SZ,002422.SZ,002475.SZ,002493.SZ,002594.SZ,002607.SZ,002739.SZ,002916.SZ,300015.SZ,600011.SH,600029.SH,600115.SH,600150.SH,600176.SH,600196.SH,600297.SH,600309.SH,600332.SH,600346.SH,600498.SH,600588.SH,600600.SH,600690.SH,600745.SH,600760.SH,600809.SH,600887.SH,600893.SH,600998.SH,601021.SH,601111.SH,601231.SH,601318.SH,601336.SH,601607.SH,601628.SH,601633.SH,601727.SH,601877.SH,601933.SH,603019.SH,603993.SH,688036.SH",2022
2022-03-31,2022-04-30,60,-0.006999951611999924,0.3659389078728316,"000063.SZ,000157.SZ,000166.SZ,000333.SZ,000425.SZ,000568.SZ,000768.SZ,000776.SZ,000860.SZ,000876.SZ,001979.SZ,002044.SZ,002120.SZ,002153.SZ,002202.SZ,002371.SZ,002384.SZ,002422.SZ,002456.SZ,002475.SZ,002555.SZ,002607.SZ,002739.SZ,002821.SZ,002916.SZ,002939.SZ,300015.SZ,600011.SH,600025.SH,600048.SH,600104.SH,600115.SH,600150.SH,600176.SH,600233.SH,600297.SH,600309.SH,600332.SH,600487.SH,600547.SH,600570.SH,600741.SH,600760.SH,600763.SH,600809.SH,600887.SH,600926.SH,600998.SH,601066.SH,601231.SH,601600.SH,601607.SH,601628.SH,601669.SH,601727.SH,601800.SH,601872.SH,601933.SH,601989.SH,688036.SH",2022
2022-04-30,2022-05-31,60,0.02569226757794201,0.5007246999680569,"000001.SZ,000166.SZ,000425.SZ,000568.SZ,000625.SZ,000723.SZ,000725.SZ,000768.SZ,000776.SZ,000860.SZ,000963.SZ,002027.SZ,002120.SZ,002142.SZ,002153.SZ,002157.SZ,002241.SZ,002271.SZ,002371.SZ,002410.SZ,002456.SZ,002475.SZ,002601.SZ,002607.SZ,002739.SZ,002812.SZ,300014.SZ,300015.SZ,300059.SZ,300122.SZ,300142.SZ,300413.SZ,300601.SZ,600011.SH,600025.SH,600061.SH,600150.SH,600196.SH,600233.SH,600297.SH,600522.SH,600570.SH,600655.SH,600760.SH,600763.SH,600809.SH,600919.SH,600926.SH,601021.SH,601117.SH,601377.SH,601600.SH,601607.SH,601628.SH,601633.SH,601669.SH,601838.SH,601919.SH,603501.SH,603799.SH",2022
2022-05-31,2022-06-30,60,0.031545254092922484,0.6246417097085443,"000066.SZ,000625.SZ,000671.SZ,000768.SZ,002049.SZ,002050.SZ,002146.SZ,002153.SZ,002230.SZ,002271.SZ,002304.SZ,002352.SZ,002371.SZ,002475.SZ,002508.SZ,002555.SZ,002601.SZ,002607.SZ,002812.SZ,002821.SZ,002916.SZ,300014.SZ,300015.SZ,300059.SZ,300124.SZ,300142.SZ,300413.SZ,300601.SZ,600010.SH,600011.SH,600036.SH,600085.SH,600196.SH,600340.SH,600438.SH,600600.SH,600606.SH,600655.SH,600703.SH,600745.SH,600760.SH,600763.SH,600795.SH,600893.SH,600919.SH,600958.SH,601009.SH,601021.SH,601155.SH,601377.SH,601600.SH,601607.SH,601633.SH,601808.SH,601838.SH,601919.SH,603160.SH,603195.SH,603799.SH,688008.SH",2022
2022-06-30,2022-07-31,60,-0.011115956009738874,0.7744730995230331,"000625.SZ,000627.SZ,000977.SZ,001979.SZ,002008.SZ,002049.SZ,002050.SZ,002230.SZ,002252.SZ,002311.SZ,002352.SZ,002371.SZ,002410.SZ,002460.SZ,002475.SZ,002493.SZ,002508.SZ,002555.SZ,002594.SZ,002714.SZ,002812.SZ,002821.SZ,002916.SZ,002945.SZ,300122.SZ,300124.SZ,300347.SZ,300601.SZ,600018.SH,600061.SH,600176.SH,600233.SH,600340.SH,600383.SH,600438.SH,600547.SH,600584.SH,600655.SH,600760.SH,600795.SH,600848.SH,600893.SH,600919.SH,601009.SH,601066.SH,601117.SH,601696.SH,601808.SH,601838.SH,601872.SH,601877.SH,601878.SH,601919.SH,601933.SH,601990.SH,603392.SH,603799.SH,603986.SH,688008.SH,688009.SH",2022
2022-07-31,2022-08-31,60,-0.021596109562858862,0.7169890284350148,"000625.SZ,000627.SZ,000938.SZ,000977.SZ,001979.SZ,002008.SZ,002049.SZ,002050.SZ,002252.SZ,002311.SZ,002352.SZ,002371.SZ,002410.SZ,002460.SZ,002475.SZ,002493.SZ,002508.SZ,002555.SZ,002594.SZ,002714.SZ,002821.SZ,002916.SZ,002945.SZ,300122.SZ,300124.SZ,300142.SZ,300144.SZ,300601.SZ,600018.SH,600061.SH,600176.SH,600208.SH,600233.SH,600340.SH,600383.SH,600438.SH,600584.SH,600705.SH,600760.SH,600795.SH,600845.SH,600848.SH,600893.SH,600919.SH,601009.SH,601066.SH,601238.SH,601696.SH,601838.SH,601872.SH,601877.SH,601878.SH,601933.SH,601990.SH,603019.SH,603392.SH,603986.SH,688008.SH,688009.SH,688012.SH",2022
2022-08-31,2022-09-30,60,-0.019527623960954293,0.6459224607086431,"000002.SZ,000596.SZ,000625.SZ,000627.SZ,000703.SZ,000768.SZ,000938.SZ,001979.SZ,002007.SZ,002050.SZ,002120.SZ,002252.SZ,002311.SZ,002352.SZ,002371.SZ,002384.SZ,002410.SZ,002422.SZ,002460.SZ,002475.SZ,002493.SZ,002594.SZ,002600.SZ,002624.SZ,002821.SZ,300014.SZ,300124.SZ,600018.SH,600061.SH,600118.SH,600161.SH,600176.SH,600208.SH,600233.SH,600340.SH,600438.SH,600487.SH,600547.SH,600655.SH,600760.SH,600795.SH,600845.SH,600848.SH,600872.SH,600893.SH,600919.SH,601066.SH,601117.SH,601231.SH,601238.SH,601872.SH,601878.SH,601901.SH,601933.SH,603392.SH,603799.SH,603986.SH,688008.SH,688009.SH,688012.SH",2022
2022-09-30,2022-10-31,60,-0.026773243038924133,0.6913905454479833,"000002.SZ,000069.SZ,000625.SZ,000627.SZ,000661.SZ,000703.SZ,000768.SZ,000786.SZ,000876.SZ,001979.SZ,002007.SZ,002050.SZ,002129.SZ,002153.SZ,002202.SZ,002352.SZ,002384.SZ,002460.SZ,002508.SZ,002600.SZ,002624.SZ,002821.SZ,002939.SZ,300014.SZ,300015.SZ,300347.SZ,300498.SZ,300529.SZ,600004.SH,600010.SH,600048.SH,600233.SH,600383.SH,600438.SH,600487.SH,600522.SH,600703.SH,600745.SH,600763.SH,600795.SH,600872.SH,600893.SH,600919.SH,600926.SH,601021.SH,601066.SH,601100.SH,601216.SH,601225.SH,601231.SH,601669.SH,601788.SH,601838.SH,601872.SH,601878.SH,601888.SH,603392.SH,603799.SH,603833.SH,603993.SH",2022
2022-10-31,2022-11-30,60,0.020545018049742667,0.6509715355955039,"000002.SZ,000425.SZ,000596.SZ,000625.SZ,000627.SZ,000708.SZ,000728.SZ,000860.SZ,001979.SZ,002049.SZ,002050.SZ,002120.SZ,002230.SZ,002311.SZ,002384.SZ,002422.SZ,002460.SZ,002475.SZ,002600.SZ,002601.SZ,002624.SZ,002714.SZ,002821.SZ,002938.SZ,300136.SZ,300498.SZ,600027.SH,600048.SH,600118.SH,600150.SH,600161.SH,600196.SH,600208.SH,600233.SH,600299.SH,600383.SH,600406.SH,600438.SH,600570.SH,600655.SH,600763.SH,600795.SH,600872.SH,600893.SH,600919.SH,600998.SH,601117.SH,601225.SH,601231.SH,601788.SH,601808.SH,601838.SH,601872.SH,601877.SH,601881.SH,601888.SH,601919.SH,603019.SH,603658.SH,688012.SH",2022
